Sample	Days	Cell_type	Experiment
P9659_4174	D7C1M_35	D7	TE	Exp1
P9659_4175	D7C1M_34	D7	TE	Exp1
P9659_4176	D7C1M_33	D7	TE	Exp1
P9659_4179	D7C1M_30	D7	TE	Exp1
P9659_4181	D7C1M_28	D7	TE	Exp1
P9659_4182	D7C1M_27	D7	TE	Exp1
P9659_4183	D7C1M_26	D7	TE	Exp1
P9659_4184	D7C1M_25	D7	TE	Exp1
P9659_4189	D7L1M_11	D7	TE	Exp1
P9659_4190	D7L1M_10	D7	TE	Exp1
P9659_4191	D7L1M_9	D7	TE	Exp1
P9659_4197	D8E1ICM_12	D8	ICM	Exp1
P9659_4201	D8E1ICM_24	D8	ICM	Exp1
P9659_4202	D8E1ICM_23	D8	ICM	Exp1
P9659_4205	D8E1ICM_20	D8	ICM	Exp1
P9659_4206	D8E1ICM_19	D8	ICM	Exp1
P9659_4210	D8-ICM18	D8	ICM	Exp1
P9659_4211	D8-ICM19	D8	ICM	Exp1
P9659_4212	D8-ICM20	D8	ICM	Exp1
P9659_4213	D8-ICM21	D8	ICM	Exp1
P9659_4214	D8-ICM22	D8	ICM	Exp1
P9659_4215	D8-ICM23	D8	ICM	Exp1
P9659_4216	D8-ICM24	D8	ICM	Exp1
P9659_4217	D8-ICM25	D8	ICM	Exp1
P9659_4218	D8-ICM26	D8	ICM	Exp1
P9659_4221	D8-ICM29	D8	ICM	Exp1
P9659_4223	D8-ICM31	D8	ICM	Exp1
P9659_4226	D8C1M_39	D8	TE	Exp1
P9659_4228	D8C1M_37	D8	TE	Exp1
P9659_4229	D8C1M_36	D8	TE	Exp1
P9659_4230	D8C1M_35	D8	TE	Exp1
P9659_4231	D8C1M_34	D8	TE	Exp1
P9659_4232	D8C1M_33	D8	TE	Exp1
P9659_4233	D8M_9	D8	TE	Exp1
P9659_4234	D8M_10	D8	TE	Exp1
P9659_4237	D8M_13	D8	TE	Exp1
P9659_4238	D8M_14	D8	TE	Exp1
P9659_4239	D8M_15	D8	TE	Exp1
P9659_4240	D8M_16	D8	TE	Exp1
P9659_4241	D8E1M_40	D8	TE	Exp1
P9659_4246	D8E1M_35	D8	TE	Exp1
P9659_4247	D8E1M_34	D8	TE	Exp1
P9659_4248	D8E1M_33	D8	TE	Exp1
P9659_4249	D8M_25	D8	TE	Exp1
P9659_4250	D8M_26	D8	TE	Exp1
P9659_4252	D8M_28	D8	TE	Exp1
P9659_4254	D8M_30	D8	TE	Exp1
P9659_4255	D8M_31	D8	TE	Exp1
P9659_4256	D8M_32	D8	TE	Exp1
