Sample	Days	Cell_type	Experiment
P11951_1151	D6J1_2	D6	D6	Exp3
P11951_1152	D6J1_1	D6	D6	Exp3
P11951_1157	D8A3ICM_1	D8	ICM	Exp3
P11951_1158	D6G7_19	D6	D6	Exp3
P11951_1159	D6G7_18	D6	D6	Exp3
P11951_1160	D6G7_17	D6	D6	Exp3
P11951_1161	D6J3_24	D6	D6	Exp3
P11951_1162	D6J3_23	D6	D6	Exp3
P11951_1163	D6J3_22	D6	D6	Exp3
P11951_1164	D6J3_21	D6	D6	Exp3
P11951_1165	D6J3_20	D6	D6	Exp3
P11951_1166	D6J3_19	D6	D6	Exp3
P11951_1167	D6J3_18	D6	D6	Exp3
P11951_1168	D6J3_17	D6	D6	Exp3
P11951_1169	D5K6_16	D5	D5	Exp3
P11951_1170	D5K6_15	D5	D5	Exp3
P11951_1171	D5K6_14	D5	D5	Exp3
P11951_1172	D5K6_13	D5	D5	Exp3
P11951_1173	D5K6_12	D5	D5	Exp3
P11951_1174	D5K6_11	D5	D5	Exp3
P11951_1175	D5K6_10	D5	D5	Exp3
P11951_1178	D5C3_7	D5	D5	Exp3
P11951_1179	D5C3_6	D5	D5	Exp3
P11951_1180	D5C3_5	D5	D5	Exp3
P11951_1181	D5C3_4	D5	D5	Exp3
P11951_1182	D5C3_3	D5	D5	Exp3
P11951_1183	D8A3ICM_7	D8	ICM	Exp3
P11951_1184	D8A3ICM_7	D8	ICM	Exp3
P11951_1185	D4H8_8	D4	D4	Exp3
P11951_1186	D4H8_7	D4	D4	Exp3
P11951_1187	D4H8_6	D4	D4	Exp3
P11951_1188	D4H8_5	D4	D4	Exp3
P11951_1189	D4H8_4	D4	D4	Exp3
P11951_1190	D4H8_3	D4	D4	Exp3
P11951_1191	D4H8_2	D4	D4	Exp3
P11951_1192	D4H8_1	D4	D4	Exp3
P11951_1193	D8A4ICM_8	D8	ICM	Exp3
P11951_1194	D8A4ICM_7	D8	ICM	Exp3
P11951_1195	D8A4ICM_6	D8	ICM	Exp3
P11951_1196	D8A4ICM_5	D8	ICM	Exp3
P11951_1197	D8A4ICM_4	D8	ICM	Exp3
P11951_1198	D8A4ICM_3	D8	ICM	Exp3
P11951_1199	D8A4ICM_2	D8	ICM	Exp3
P11951_1200	D8A4ICM_1	D8	ICM	Exp3
P11951_1201	D8A4ICM_24	D8	ICM	Exp3
P11951_1202	D8A4ICM_23	D8	ICM	Exp3
P11951_1203	D8A4ICM_22	D8	ICM	Exp3
P11951_1204	D8A4ICM_21	D8	ICM	Exp3
P11951_1205	D8A4ICM_20	D8	ICM	Exp3
P11951_1206	D8A4ICM_19	D8	ICM	Exp3
P11951_1207	D8A4ICM_18	D8	ICM	Exp3
P11951_1208	D8A4ICM_17	D8	ICM	Exp3
P11951_1209	D8A4M_40	D8	TE	Exp3
P11951_1210	D8A4M_39	D8	TE	Exp3
P11951_1211	D8A4M_38	D8	TE	Exp3
P11951_1212	D8A4M_37	D8	TE	Exp3
P11951_1213	D8A4M_36	D8	TE	Exp3
P11951_1214	D8A4M_35	D8	TE	Exp3
P11951_1215	D8A4M_34	D8	TE	Exp3
P11951_1216	D8A4M_33	D8	TE	Exp3
P11951_1217	D8E1ICM_8	D8	ICM	Exp3
P11951_1218	D8A4ICM_9	D8	ICM	Exp3
P11951_1219	D8E1ICM_6	D8	ICM	Exp3
P11951_1220	D8E1ICM_5	D8	ICM	Exp3
P11951_1221	D8E1ICM_4	D8	ICM	Exp3
P11951_1222	D8E1ICM_3	D8	ICM	Exp3
P11951_1223	D8E1ICM_2	D8	ICM	Exp3
P11951_1224	D8E1ICM_1	D8	ICM	Exp3
P11951_1225	D8A1ICM_8	D8	ICM	Exp3
P11951_1226	D8A1ICM_7	D8	ICM	Exp3
P11951_1227	D8A1ICM_6	D8	ICM	Exp3
P11951_1228	D8A1ICM_5	D8	ICM	Exp3
P11951_1229	D8A4ICM_11	D8	ICM	Exp3
P11951_1230	D8A4ICM_10	D8	ICM	Exp3
P11951_1232	D8A1ICM_1	D8	ICM	Exp3
P11951_1233	D8B1ICM_16	D8	ICM	Exp3
P11951_1234	D8B1ICM_15	D8	ICM	Exp3
P11951_1235	D8B1ICM_14	D8	ICM	Exp3
P11951_1236	D8B1ICM_13	D8	ICM	Exp3
P11951_1237	D8A4ICM_13	D8	ICM	Exp3
P11951_1238	D8A4ICM_12	D8	ICM	Exp3
P11951_1239	D8B1ICM_10	D8	ICM	Exp3
P11951_1240	D8B1ICM_9	D8	ICM	Exp3
P11951_1241	D8B2ICM_16	D8	ICM	Exp3
P11951_1242	D8B2ICM_15	D8	ICM	Exp3
P11951_1243	D8B2ICM_14	D8	ICM	Exp3
P11951_1245	D8B2ICM_12	D8	ICM	Exp3
P11951_1246	D8B2ICM_11	D8	ICM	Exp3
P11951_1247	D8A4ICM_14	D8	ICM	Exp3
P11951_1248	D8B2ICM_9	D8	ICM	Exp3
P11951_1249	D8D1ICM_16	D8	ICM	Exp3
P11951_1250	D8A4A1?ICM_18	D8	ICM	Exp3
P11951_1251	D8A4A1?ICM_17	D8	ICM	Exp3
P11951_1252	D8D1ICM_13	D8	ICM	Exp3
P11951_1253	D8D1ICM_12	D8	ICM	Exp3
P11951_1254	D8D1ICM_11	D8	ICM	Exp3
P11951_1255	D8D1ICM_10	D8	ICM	Exp3
P11951_1256	D8D1ICM_9	D8	ICM	Exp3
P11951_1258	D8D1M_39	D8	TE	Exp3
P11951_1259	D8D1M_38	D8	TE	Exp3
P11951_1260	D8D1M_37	D8	TE	Exp3
P11951_1261	D8D1M_36	D8	TE	Exp3
P11951_1262	D8D1M_35	D8	TE	Exp3
P11951_1263	D8D1M_34	D8	TE	Exp3
P11951_1264	D8D1M_33	D8	TE	Exp3
P11951_1265	D8D1M_56	D8	TE	Exp3
P11951_1266	D8D1M_55	D8	TE	Exp3
P11951_1267	D8D1M_54	D8	TE	Exp3
P11951_1268	D8D1M_53	D8	TE	Exp3
P11951_1269	D8D1M_52	D8	TE	Exp3
P11951_1270	D8D1M_51	D8	TE	Exp3
P11951_1271	D8C1M_40	D8	TE	Exp3
P11951_1272	D8D1M_49	D8	TE	Exp3
P11951_1273	D8A4M_64	D8	TE	Exp3
P11951_1274	D8A4M_63	D8	TE	Exp3
P11951_1275	D8A4M_62	D8	TE	Exp3
P11951_1276	D8A4M_61	D8	TE	Exp3
P11951_1277	D8A4M_60	D8	TE	Exp3
P11951_1278	D8C1M_41	D8	TE	Exp3
P11951_1279	D8A4M_58	D8	TE	Exp3
P11951_1280	D8A4M_57	D8	TE	Exp3
